Race,Category,Short Description,Size,Type,Subtype,HD,Land,Burrow,Climb,Fly,Maneuver,Swim,Natural Armor,Natural Attacks,Special Attacks,Spell-like abilities,Psionic abilities,Other Special Abilities,LowLight Vision,Darkvision,Other Senses,Immunities,Vulnerabilities,Energy Resistance,Spell Resistance,Damage Reduction,Fast Healing,Bonus Essentia,Other Special Qualities,Str,Dex,Con,Int,Wis,Cha,StrAdj,DexAdj,ConAdj,IntAdj,WisAdj,ChaAdj,Racial Skills,Racial Weapon Familiarity,Racial Weapon Proficiency,Bonus Feat(s),Automatic Languages,Bonus Languages,Dragonlance Languages,CR Adj.,Alignment,Level Adj.,Favored Class,Base Age,Height,Weight,Special Qualities,,Familiar Level,Companion Level,Familiar Type,Companion  Type,Wildshape Special,Special,Index,Species,Src,Pg,AltSrc
Marrash,,,Medium,Outsider,"Evil, Lawful",7,30,,,70,good,,6,"2 Claws+4+0+1,Bite+5+0+0",,"Protection From Arrows (at will, CL 10)",,,,,,,,,,,,,,,,,,,,2,6,2,-2,2,-2,"Balance,Jump,Knowledge (the planes),Listen,Search,Spot,Tumble",,,,Infernal,Common,,5,,6,Fighter,,,,,,,,,,,,,,MM2,145,
Maug,,,Large,Construct,Extraplanar,2,40,,,,,,7,Slam+5+0+2,,,,,,60,,"mind-affecting effects, poison, sleep, paralysis, stunning, disease, death effects, necromantic effects, any effect requiring a Fort save unless it works on objects. You are also not subject to critical hits, sneak attacks, subdual damage, ability damage, ability drain, energy drain, death from massive damage.",,,14;ClassLvl,,,,,,,,,,,10,4,,2,,2,"Craft (any),Craft (stonemeasonery)+4,Intimidate,Knowledge (arch & eng)+4,Listen,Profession (any),Spot,Survival",,,Alertness,"Common, Draconic, Giant",,,3,,3,Fighter,,,,,,,,,,,,,,FF,121,
Mechanatrix,,,Medium,Outsider,Native,,20,,,,,,1,,,Shocking Grasp,,,,,,,,"cold 5, fire 5",,,,,,,,,,,,,-2,2,2,,-2,"Knowledge (arch & eng)+4,Listen,Search,Spot+2",,,,Common,,,,,1,Fighter,,,,,,,,,,,,,,FF,,
"Mephling, Air",,,Small,Humanoid,Extraplanar,,30,,,10,good,,,,,,,,,,,,,,,,,,,,,,,,,,2,,-2,,2,,,,,"Common, Auran","Aquan, Auran, Ignan, Terran",,,,1,Bard,50+4d4/4d6/6d6,"2'7""/2'9""+2d4",25/30+1d1,,,,,,,,,,,PlH,,
"Mephling, Earth",,,Small,Humanoid,Extraplanar,,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-2,,-2,,2,,,,,"Common, Terran","Aquan, Auran, Ignan, Terran",,,,1,Druid,51+4d4/4d6/6d7,"2'7""/2'9""+2d4",25/30+1d1,,,,,,,,,,,PlH,,
"Mephling, Fire",,,Small,Humanoid,Extraplanar,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,-2,,2,,,,,"Common, Ignan","Aquan, Auran, Ignan, Terran",,,,1,Sorcerer,52+4d4/4d6/6d8,"2'7""/2'9""+2d4",25/30+1d1,,,,,,,,,,,PlH,,
"Mephling, Water",,,Small,Humanoid,Extraplanar,,30,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,2,-2,,2,,,,,"Common, Aquan","Aquan, Auran, Ignan, Terran",,,,1,Monk,53+4d4/4d6/6d9,"2'7""/2'9""+2d4",25/30+1d1,,,,,,,,,,,PlH,,
Merfolk,,,Medium,Humanoid,Aquatic,,5,,,,,50,,,,,,,normal,,,,,,,,,,,13,13,14,10,9,10,0,2,2,0,0,2,Swim+8,,,,"Common, Aquan",,,,,1,Bard,,,,,,,,,,,,,,MM,185,
Merregon (Legion Devil),,,Medium,Outsider,"Baatezu, Evil, Extraplanar, Lawful",3,30,,,,,,2,,,,,,,,,"fire, poison, fear",,"acid 10, cold 10",,5/magic,,,,,,,,,,6,6,4,-4,,,"Climb,Craft (weaponsmithing),Heal,Intimidate,Jump,Ride",,,Mobility,Infernal,,,3,,5,Fighter,,,,,,,,,,,,,,FCII,122,
Mind Flayer,,,Medium,Aberration,,8,30,,,,,,3,Tentacles+4+0+1,,"× Psionics (Sp): At Will: Charm Monster (DC 13), Detect Thoughts (DC 11), Levitate, Plane Shift, Suggestion (DC 12).",,,,60,,,,,25;ClassLvl,,,,,,,,,,,2,4,2,8,6,6,"Bluff,Concentration,Diplomacy,Disguise,Hide,Intimidate,Knowledge (any),Listen,Move Silently,Sense Motive,Spot",,,,"Common, Undercommon","Abyssal, Aquan, Draconic, Dwarven, Elven, Gnome, Infernal, Terran",,8,,7,Wizard,,,,,,,,,,,,,,MM,186,
Minotaur,,,Large,Monstrous Humanoid,,6,30,,,,,,5,Gore+5+0+1,,,,,,60,,,,,,,,,,19,10,15,7,10,8,8,,4,-4,,-2,"Intimidate,Listen+4,Search+4,Spot+4",,Greataxe,,"Common, Giant","Orc, Goblin, Terran",,4,,2,Barbarian,,,,,,,,,,,,,,MM,188,DLCS
"Minotaur, Krynnian",,,Medium,Monstrous Humanoid,,0,30,,,,,,2,Gore+5+0+1,,,,,,,,,,,,,,,,,,,,,,4,-2,,-2,,-2,"Intimidate,Listen+4,Search+4,Spot+4",,Greataxe,,"Common, Kothian","Kalinese, Nordmaarian, Ogre, Saifhum",,,,,Fighter,,,,,,,,,,,,,,,,
Mongrelfolk,,,Medium,Humanoid,Human,,30,,,,,,,,,,,,,,,sleep effects,,,,,,,,,,,,,,,,4,-2,,-4,"Appraise+1,Climb+1,Hide+4,Jump+1,Listen+1,Move Silently+1,Search+1,Sleight of Hand+4,Spot+1",,,,Common,Any,,,,,Rogue,15+1d4/1d6/2d6,"4'4""/4'3""+2d6",100/85+2d6,,,,,,,,,,,RoD,98,FF
Narzugon,,,Medium,Outsider,"Baatezu, Evil, Extraplanar, Lawful",7,30,,,,,,2,,,"Scorching Ray (at will), Mount (3/day).",,,,,,"fire, poison",,"acid 10, cold 10",15,10/good,,,,,,,,,,6,2,4,,2,2,"Balance,Climb,Escape Artist,Handle Animal,Intimidate,Knowledge (the planes),Listen,Ride,Spot,Survival,Use Rope",,,,"Common, Celestial, Draconic, Infernal",,,5,,4,Fighter,,,,,,,,,,,,,,FCII,125,
Neanderthal,,,Medium,Humanoid,Human,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-2,2,-2,,,"Listen+2,Spot+2,Survival+2",,,,Common,"Dwarven, Giant, Orc",,,,,Barbarian,14+1d4/1d6/3d6,"6'6""/6'6""+2d8",200/150+2d4,,,,,,,,,,,Frost,145,
Neraph,,,Medium,Outsider,Extraplanar,,30,,,,,,2,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,"Jump+5,Search+2,Spot+2",Annulat,,,"Neraph, Slaad","Common, Celestial, Abyssal",,,,,Ranger,40+3d6/5d6/7d6,"4'10""/4'5""+2d10",120/85+2d4,,,,,,,,,,,PlH,,
"Nerra, Kalareem",,,Medium,Outsider,Extraplanar,3,30,,,,,,5,,,Mirror Image,,,,,,gaze attacks,sonic,"cold 10, electricity 10, fire10",,,,,,,,,,,,2,6,4,,4,2,"Bluff,Diplomacy,Disguise,Hide,Intimidate,Knowledge (any),Listen,Move Silently,Sense Motive,Spot",,,"Exotic Weapon Proficiency(shard longsword), Weapon Focus(shard longsword)","Common, Nerran",,,3,,6,Fighter,,,,,,,,,,,,,,FF,128,
"Nerra, Sillit",,,Medium,Outsider,Extraplanar,7,30,,,,,,5,,,"Change Self, False Vision, Mirror Image (at will); Mislead (3/day)",,,,,,gaze attacks,sonic,"cold 15, electricity 15, fire15",,,,,,,,,,,,2,4,4,6,4,8,"Bluff,Diplomacy,Disguise,Gather Information,Hide,Intimidate,Knowledge (the planes),Listen,Move Silently,Search,Sense Motive,Spot,Survival",,,"Exotic Weapon Proficiency(shard longsword), Weapon Focus(shard longsword)","Common, Nerran",,,6,,18,Wizard,,,,,,,,,,,,,,FF,129,
"Nerra, Varoot",,,Medium,Outsider,Extraplanar,,30,,,,,,3,,,Change Self; Mirror Image (3/day),,,,,,gaze attacks,sonic,"cold 5, electricity 5, fire 5",,,,,,,,,,,,,4,2,,4,6,"Bluff,Diplomacy,Disguise,Gather Information,Intimidate,Knowledge (any),Listen,Sense Motive,Sleight of Hand,Spot",,,"Exotic Weapon Proficiency(shard longsword), Exotic Weapon Proficiency(shard dagger)","Common, Nerran",,,1,,3,Rogue,,,,,,,,,,,,,,FF,130,
Nezumi,,,Medium,Humanoid,,,40,,,,,,,"Bite+4+0+1,Claw+4+0+1",,,,,normal,,,Shadowlands Taint,,,,,,,,,,,,,,,,2,,,-2,"Hide+2,Move Silently+2",,,,"Common, Nezumi","Bakemono, Shadowlands",,,,,Rogue,5+1d2/1d4/1d8,"5'2""/4'9""+2d4",140/105+1d6,,,,,,,,,,,OA,13,
Nixie,,,Small,Fey,Aquatic,,20,,,,,30,,,,,,,,,,,,,16;ClassLvl,5/cold iron,,,,7,16,11,12,13,18,,,,,,,Swim+8,,"Crossbow, Light;Sword, Short",Dodge,"Aquan, Sylvan","Common, Elven, Gnome, Halfling",,1,,3,Sorcerer,,,,,,,,,,,,,,MM,235,
Nycter,,,Small,Monstrous Humanoid,,3,20,,,40,good,,3,Bite+5+0+1,,,,,,60,,,sonic,,,,,,,,,,,,,-2,4,,,2,-2,"Craft (any),Listen+2,Spot+2,Survival",,,,Nycter,"Common, Draconic, Dwarven, Giant, Goblin, Orc",,2,,2,Druid,,,,,,,,,,,,,,MM3,112,
Ogre,,,Large,Giant,,4,40,,,,,,5,,,,,,normal,,,,,,,,,,,21,8,15,6,10,7,,,,,,,"Climb,Listen,Spot",,,,"Common, Giant","Dwarven, Orc, Goblin, Terran","Goblin, Kothian, High Ogre",3,,2,Barbarian,,,,,,,,,,,,,,MM,198,DLCS
Ogre Mage,,,Large,Giant,,5,40,,,40,good,,5,,,"Darkness, Invisibility (at will); Charm Person (DC 10), Cone Of Cold (DC 14), Gaseous Form, Sleep (DC 10)",,,normal,90,,,,,19;ClassLvl,,,,,21,10,17,14,14,17,,,,,,,"Concentration,Listen,Spellcraft,Spot",,,,"Common, Giant","Dwarven, Goblin, Infernal, Orc",,8,,7,Sorcerer,,,,,,,,,,,,,,MM,200,
"Ogre, Irda",,,Medium,Humanoid,Shapechanger,,30,,,,,,,,,"Dancing Lights, Detect Magic, Flare, Ghost Sound, Light, Mage Hand. (DC 9)",,,normal,,,,,,,,,,,,,,,,,,,-2,2,,2,,,,,"Common, High Ogre","Dwarven, Elven, Kothian, Sylvan",,,,2,Wizard,,,,,,,,,,,,,,DLCS,,
"Ogre, Skullcrusher",,,Large,Giant,,8,40,,,,,,2,,,,,,normal,,,,,,,,,,,,,,,,,14,,6,,,-2,"Craft (any),Handle Animal,Intimidate,Knowledge (arch & eng),Ride",,,"Improved Grapple, Two-Weapon Fighting","Common, Giant","Dwarven, Orc, Goblin, Terran",,5,,3,Fighter,,,,,,,,,,,,,,MM3,116,
Orc,,,Medium,Humanoid,Orc,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,-2,-2,-2,,,,,"Common, Orc","Dwarven, Giant, Gnoll, Goblin, Undercommon",,,,,Barbarian,,,,,,,,,,,,,,MM,203,
"Orc, Deep",,,Medium,Humanoid,Orc,,30,,,,,,2,,,,,,,120,,,,"fire 5, cold 5",,,,,,,,,,,,6,-2,,,-2,2,"Craft (armorsmithing)+2,Craft (weaponsmithing)+2",,"Axe, Throwing;Greatsword",,"Orc, Undercommon","Common, Dwarven, Elven, Goblin, Giant",,,,2,Fighter,,"5'10""/5'2""+2d10",160/125+2d6,,,,,,,,,,,RoF,72,
"Orc, Frostblood",,,Medium,Humanoid,"Dragonblood, Orc",,30,,,,,,,,,,,,,,,,fire,cold 10,,,,,,,,,,,,4,,,-2,-2,-2,,,,Endurance,"Common, Orc","Dwarven, Giant, Gnoll, Goblin, Undercommon",,,,,Barbarian,,,,,,,,,,,,,,DrM,,
"Orc, Gray",,,Medium,Humanoid,Orc,,40,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,2,,,-2,2,-2,,,"Greataxe;Longbow;Longbow, Composite",,"Common, Orc","Draconic, Giant, Goblin",,,,1,Cleric,14+1d4/1d6/2d6,"4'10""/4'5""+2d12",150/110+2d6,,,,,,,,,,,RoF,,
"Orc, Mountain",,,Medium,Humanoid,Orc,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,-2,-2,-2,,,Greataxe;Javelin,,"Common, Orc","Draconic, Dwarven, Giant, Goblin",,,,,Barbarian,14+1d4/1d6/2d6,"5'8""/5'0""+2d10",150/115+2d6,,,,,,,,,,,RoF,,
Pixie,,,Small,Fey,,,20,,,60,good,,1,,,"Lesser Confusion (DC 10), Dancing Lights, Detect Chaos, Detect Good, Detect Evil, Detect Law, Detect Thoughts (DC 11), Dispel Magic, Entangle (DC 10), Permanent Image (DC 15)",,,,,,,,,15;ClassLvl,10/cold iron,,,,7,18,11,16,15,16,-4,,,,,,"Listen+2,Search+2,Spot+2",,"Longbow;Longbow, Composite;Sword, Short","Dodge, Weapon Finesse","Common, Sylvan","Elven, Gnome, Halfling",,4,,4,Sorcerer,,,,,,,,,,,,,,MM,236,
Quaraphon,,,Large,Aberration,,9,40,,,,,,7,"Bite+4+0+2,2 Hooves+4+0+2",,,,,,60,,,,,,,,,,,,,,,,10,,12,-4,4,,"Intimidate,Listen,Spot,Survival",,,,Giant,,,5,,5,Barbarian,,,,,,,,,,,,,,MM3,128,
Rakshasa,,,Medium,Outsider,Native,7,40,,,,,,9,"2 Claws+4+0+1,Bite+5+0+0",,,,,,,,,,,27;ClassLvl,15/good and piercing,,,,12,14,16,13,13,17,2,4,6,2,2,6,"Bluff+4,Concentration,Diplomacy,Disguise+4,Intimidate,Listen,Move Silently,Perform (any),Sense Motive,Spellcraft,Spot",,,,"Common, Infernal","Sylvan, Undercommon",,10,,7,Sorcerer,,,,,,,,,,,,,,MM,211,
"Rakshasa, Naztharune",,,Medium,Outsider,Native,11,40,,,,,,5,2 Claws+4+0+0,,,,,,,,,,,21;ClassLvl,15/good and piercing,,,,,,,,,,4,10,8,4,,4,"Balance,Bluff+4,Disguise+4,Escape Artist,Hide,Listen,Move Silently,Search,Spot,Use Magic Device",,,,"Common, Infernal","Sylvan, Undercommon",,11,,5,Rogue,,,,,,,,,,,,,,MM3,136,
Raptoran,,,Medium,Humanoid,,,30,,,ref:RaptoranFlySpeed,average,,,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,"Climb+2,Jump+10,Spot+2",,,,"Common, Tuilvilanuue","Draconic, Elven, Gnome, Goblin, Orc, Sylvan",,,,,Cleric,20+1d6/2d6/3d6,"5'2""/5'2""+2d10",100/100+2d4,,,,,,,,,,,RotW,65,
Rilkan,,,Medium,Humanoid,Reptilian,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,2,,,,,"Bluff+2,Diplomacy+2",,,,Common,Any,,,,,Incarnate,14+1d4/1d6/2d6,"5'0""/4'8""+2d8",120/95+1d8,,,,,,,,,,,MoI,12,
"Rilmani, Aurumach",,,Large,Outsider,Extraplanar,16,50,,,,,,14,,,"Comprehend Languages, Detect Chaos, Detect Evil, Detect Good, Detect Law, Detect Magic, Detect Thoughts, Feather Fall, Sanctuary, Tongues, Charm Monster, Cone of Cold, Greater Dispelling, Magic Circle Against Chaos, Magic Circle Against Evil, Magic Circle Against Good, Magic Circle Against Law, Magic Missile, Mass Suggestion, Teleport Without Error (self +max load of objects) (at will); Dissmissal, Fly, Forbiddance, Heal, Mind Blank, Prismatic Spray, True Seeing (CL 17, Save DC 18+Spell Level) (3/day)",,,,,,"electricity, poison",,"acid 20, sonic 20",30,15/good or evil or lawful or chaotic,,,,,,,,,,12,8,14,12,14,16,"Concentration,Craft (any),Diplomacy,Knowledge (any),Listen,Search,Sense Motive,Spellcraft,Spot,Survival",,,,"Rilmani, Common, Undercommon, Abyssal, Celestial, Draconic, Infernal, Sylvan",,,17,,9,Cleric,,,,,,,,,,,,,,RotW,67,
"Rilmani, Cuprilach",,,Medium,Outsider,Extraplanar,12,40,,20,,,,15,,,"Comprehend Languages, Detect Chaos, Detect Evil, Detect Good, Detect Law, Detect Magic, Detect Thoughts, Feather Fall, Sanctuary, Tongues, Knock, Locate Object, Melf's Acid Arrow, Misdirection, See Invisibility (at will); Dimension Door, Enervation, Mislead, Poison (CL 12,Save DC 16 + Spell Level) (3/day)",,,,,,"electricity, poison",,"acid 20, sonic 20",25,10/good or evil or lawful or chaotic,,,,,,,,,,8,14,10,8,8,12,"Balance,Bluff,Climb+8,Concentration,Diplomacy,Disguise,Escape Artist,Forgery,Gather Information,Hide,Intimidate,Jump,Listen,Move Silently,Search,Sense Motive,Spot,Survival,Tumble",,,,"Rilmani, Common, Undercommon, Abyssal, Celestial, Infernal",,,12,,5,Rogue,,,,,,,,,,,,,,FF,142,
"Rilmani, Ferrumach",,,Medium,Outsider,Extraplanar,8,30,,,,,,7,,,"Comprehend Languages, Detect Chaos, Detect Evil, Detect Good, Detect Law, Detect Magic, Detect Thoughts, Feather Fall, Sanctuary, Tongues, Blur, Command, Obscuring Mist, See Invisibility, Silence (at will); Cure Moderate Wounds, Dispel Magic, Ice Storm, Phantom Steed (CL 9,Save DC 15 + Spell Level) (3/day)",,,,,,"electricity, poison",,"acid 20, sonic 20",20,10/good or evil or lawful or chaotic,,,,,,,,,,14,2,18,4,2,10,"Climb,Concentration,Diplomacy,Escape Artist,Intimidate,Listen,Profession (soldier),Ride,Search,Sense Motive,Spot,Survival,Use Rope",,,,"Rilmani, Common, Undercommon, Sylvan",,,9,,5,Fighter,,,,,,,,,,,,,,FF,143,
Satyr,,,Medium,Fey,,5,40,,,,,,4,Head Butt+5+0+1,,,,,normal,,,,,,,5/cold iron,,,,10,13,12,12,13,13,,2,2,2,2,2,"Bluff,Diplomacy,Disguise,Hide+4,Intimidate,Knowledge (nature),Listen+4,Move Silently+4,Perform (any)+4,Spot+4,Survival",,"Shortbow;Shortbow, Composite",Alertness,Sylvan,"Common, Elven, Gnome",,2,,2,Bard,,,,,,,,,,,,,,MM,219,
Scorpionfolk,,,Large,Monstrous Humanoid,,12,40,,,,,,6,"Sting+5+0+1,2 Claws+4+0+0,Trample+5+0+2",,"Major Image (2/day); Mirror Image (Cl10, Save DC 12+Spell Level)",,,,60,,,,fire 5,18,,,,,,,,,,,8,2,2,-2,4,4,"Diplomacy,Intimidate,Listen,Sense Motive,Spot",,,,Common,Terran,,7,,4,Ranger,,,,,,,,,,,,,,MM2,221,
Sea Kin,,,Medium,Humanoid,Human,,30,,,,,30,,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,Escape Artist+2,,Net,,Common,"Aquan, Elven, Sahuagin",,,,,Druid,17+1d4/1d6/2d6,"4'10""/4'5""+2d10",120/85+2d4,,,,,,,,,,,RoD,100,
Selkie,,,Medium,Humanoid,"Aquatic, Shapechanger",3,30,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,-2,2,,2,,2,"Craft (any),Listen,Perform (any),Spot,Swim+8",,,,Common,Aquan,,1,,1,Bard,,,,,,,,,,,,,,FF,145,
Shadar-Kai,,,Medium,Fey,Extraplanar,3,30,,,,,,,,,,,,normal,,,,,,,5/cold iron,,,,,,,,,,,6,,,,-2,,,"Chain, Spiked",,Sylvan,"Common, Elven",,1,,1,Rogue,,,,,,,,,,,,,,FF,150,
Shadowswyft,,,Medium,Outsider,Extraplanar,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-2,,,,"Hide+4,Move Silently+4",,,,"Shadowswyft, Common","Abyssal, Celestial, Elven",,,,1,Rogue,12+1d4/2d4/3d4,"5'4""/5'0""+3d5",120/80+1d4,,,,,,,,,,,PlH,,
Sharakim,,,Medium,Humanoid,Human,,30,,,,,,1,,,,,,,60,,,,,,,,,,,,,,,,2,-2,,2,,-2,,,,,Common,"Dwarven, Elven, Gnome, Orc",,,,1,Wizard,16+1d4/1d6/2d6,"4'10""/4'5""+2d10",150/110+2d6,,,,,,,,,,,RoD,102,
Shifter,,,Medium,Humanoid,Shapechanger,,30,,ref:ShifterClimbSpeed,ref:ShifterFlySpeed,ref:ShifterManeuverability,ref:ShifterSwimSpeed,ref:ShifterNaturalArmor,ref:ShifterAttacks,,,,,normal,,,,,,,,,,,,,,,,,,2,,-2,,-2,ref:ShifterSkills,,,,Common,"Elven, Gnome, Halfling, and Sylvan",,,,,Ranger,20+1d6/1d8/2d8,"4'7""/4'5""+2d8",100/85+2d4,,,,,,,,,,,MM3,150,"ECS,RoE"
Shyft,,,Medium,Outsider,Native,,30,,,,,,,,,Ethereal Jaunt,,,,,,,,"cold 5, fire 5, sonic 5",,,,,,,,,,,,-2,2,,,2,-2,"Bluff,Hide+4,Listen,Move Silently+4,Search,Sense Motive,Sleight of Hand,Spot",,,,Common,,,1,,3,Rogue,,,,,,,,,,,,,,FF,,
Sirine,,,Medium,Fey,Aquatic,4,30,,,,,60,ref:ChaMod,,,"Fog Cloud, Improved Invisibility (CL 11, Save DC 13+spell level)",,,,,,,,,,5/cold iron,,,,,,,,,,,8,,2,6,6,"Concentration,Heal,Hide,Perform (any)+8,Survival,Swim+8+",,,,"Common,Sylvan",Aquan,,5,,4,Sorcerer,,,,,,,,,,,,,,MM2,185,
Skarn,,,Medium,Humanoid,Reptilian,,30,,,,,,,ref:SkarnSpines,,,,,,,,,,,,,,,,,,,,,,2,-2,,,,,"Intimidate+2,Climb+2",,,,Common,"Draconic, Elf, Celestial, Abyssal, Infernal",,,,,Incarnate,21+1d4/2d6/4d6,"5'5""/5'3""+2d10",150/130+2d8,,,,,,,,,,,MoI,15,
Skulk,,,Medium,Humanoid,Human,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,-2,-4,"Hide+15,Move Silently+8",,,,Common,"Dwarven, Elven, Gnome, Goblin, Halfling, Orc",,,,1,Rogue,15+1d4/1d6/2d6,"4'10""/4'5""+2d10",105/70+2d4,,,,,,,,,,,MM4,187,
Slig,,,Medium,Humanoid,Reptilian,3,30,,,,,,4,"2 Claws+4+0+1,Bite+4+0+0",,,,,,60,,,,fire 10,,,,,,,,,,,,4,4,2,,,-4,"Craft (any),Craft (trapmaking)+2,Hide+2,Move Silently,Ride,Survival",,,,"Common, Draconic","Goblin, Elven, Ogre",,2,,2,Rogue,,,,,,,,,,,,,,BoK,,
"Slig, Ghaggler",,,Medium,Humanoid,"Aquatic, Reptilian",3,20,,,,,40,4,"2 Claws+4+0+1,Bite+4+0+0",,,,,,60,,,,fire 10,,,,,,,,,,,,4,4,2,,,-4,"Craft (any),Craft (trapmaking)+2,Hide+2,Move Silently,Ride,Survival",,,,"Common, Draconic","Goblin, Elven, Ogre",,2,,2,Rogue,,,,,,,,,,,,,,BoK,,
Slyth,,,Medium,Humanoid,Shapechanger,,30,,,,,30,,,,,,,,,,"polymorphing, poison",,sonic 5,,,,,,,,,,,,-2,2,,,2,,"Disguise+4,Escape Artist+4,Survival+4",,Flutter Blade,,"Common, Undercommon","Aquan, Elven, Gnome, Terran",,,,2,Druid,,,,,,,,,,,,,,Und,,
Spellscale,,,Medium,Humanoid,Dragonblood,,30,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,,,-2,,,2,,,,,"Common,Draconic","Dwarven, Elven, Gnome, Halfling",,,,,Sorcerer,12+1d4/1d6/2d4,"4'7""/4'10""+2d6",90/100+2d8,,,,,,,,,,,Rdr,21,
Spiker,,,Medium,Humanoid,Extraplanar,,30,,,,,,1,,,,,,,60,,,,acid 5,,2/piercing or slashing.,,,,,,,,,,,,,,,,,,,,Common,Infernal,,,,,Fighter,20+1d4/1d6/2d6,"4'10""/4'5""+2d10",140/100+2d6,,,,,,,,,,,PlH,,
"Spirit Folk, Bamboo",,,Medium,Humanoid,Spirit,,30,,,,,,,,,Speak With Animals 1/day,,,normal,,,,,,,,,,,,,,,,,,,,,,,Survival+2,,,,"Common, Spirit Tongue","Aquan, Giant Goblin, Hengeyokai, Nezumi",,,,,Any,110+4d6/6d6/10d6,"4'10""/4'5""+2d8",120/85+2d4,,,,,,,,,,,OA,14,
"Spirit Folk, River",,,Medium,Humanoid,Spirit,,30,,,,,30,,,,Speak With Animals 1/day (fish only),,,normal,,,,,,,,,,,,,,,,,,,,,,,Swim+8,,,,"Common, Spirit Tongue","Aquan, Giant Goblin, Hengeyokai, Nezumi",,,,,Any,110+4d6/6d6/10d6,"4'10""/4'5""+2d8",120/85+2d4,,,,,,,,,,,OA,14,
"Spirit Folk, Sea",,,Medium,Humanoid,Spirit,,30,,,,,30,,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,Swim+8,,,,"Common, Spirit Tongue","Aquan, Giant Goblin, Hengeyokai, Nezumi",,,,,Any,110+4d6/6d6/10d6,"4'10""/4'5""+2d8",120/85+2d4,,,,,,,,,,,OA,14,
Spriggan,,,Small,Fey,,5,20,,,,,,,,,"Produce Flame, Scare, Shatter (at will, CL 8, DC 10+spell level) (at will)",,,,,,,,,,5/cold iron,,,,,,,,,,,10,2,,-2,,"Climb+4,Disable Device+4,Move Silently+4,Open Lock+4,Sleight of Hand+4",,,,"Common, Gnome","Draconic, Sylvan",,3,,2,Rogue,,,,,,,,,,,,,,FF,162,
"Ss'ressen, Ashen Hide",,,Medium,Humanoid,Reptilian,,30,,,,,,3,2 Claws+4+0+1,,,,,normal,,,,,,,,,,,,,,,,,,2,,,-2,-2,,,,,"Ss'ressen, Cancerese","Ssethric, Low Coryani, Milandisian",,,,,Barbarian,,,,,,,,,,,,,,PGtA,,
"Ss'ressen, Black Talon",,,Medium,Humanoid,Reptilian,,30,,,,,,2,2 Claws+4+0+1,,,,,normal,,,,,,,,,,,,,,,,,,2,,-2,,,"Balance+2,Jump+2,Swim+2",,,,"Ss'ressen, Milandisian","Ssethric, Low Coryani, Cancerese",,,,,Ranger,,,,,,,,,,,,,,PGtA,,
Stonechild,,,Medium,Outsider,"Earth, Extraplanar",2,30,,,,,,4,,,,,,,,,"acid, poison",,,,,,,,,,,,,,8,,8,2,,-2,"Appraise,Climb,Intimidate,Knowledge (history),Knowledge (the planes),Listen,Search,Spot,Survival",,,Blind-Fight,"Common, Terran","Celestial, Dwarven, Ignan",,3,,4,Fighter,60+3d6/5d6/7d6,"5'4""/5'2""+2d12",200/180+2d6,,,,,,,,,,,RoS,,MH
Synad,,,Medium,Aberration,,,30,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,"Common, Synad",Any,,,,,Any,,,,,,,,,,,,,,CP,,
Tanarukk,,,Medium,Outsider,Native,5,20,,,,,,4,Bite+5+0+1,,,,,,,,,,fire 10,14;ClassLvl,,,,,,,,,,,4,2,,,-2,-4,"Hide,Intimidate,Listen,Search,Spot",,,,"Abyssal, Orc",By region,,,,3,Barbarian,,,,,,,,,,,,,,RoF,,Mon
Tarmak,,,Medium,Humanoid,Human,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,-2,,-2,,,,,"Tarmak, Common",Any,,,,,Barbarian,,,,,,,,,,,,,,AoM,,DLCS
"Tayfolk, Taylang",,,Large,Monstrous Humanoid,,2,30,,,,,,4,,,,,,,,,sleep,,,,,,,,,,,,,,6,,2,-2,,-4,"Climb,Intimidate+2,Listen+2,Survival",,Greatclub,,Tayl,"Common, Elven, Ogre",,2,,1,Fighter,,,,,,,,,,,,,,BoK,,
"Tayfolk, Tayling",,,Medium,Humanoid,,,30,,,,,,,,,"Cure Minor Wounds, Mage Hand, Cat's Grace, Haste, Polymorph (3/day)",,,,,,sleep,,,5;ClassLvl,,,,,,,,,,,-2,2,-2,,2,2,"Concentration+2,Spot+2",,,,Tayl,"Common, Elven, Ogre",,1,,2,Sorcerer,,,,,,,,,,,,,,BoK,,
